State,Year,Quarter,Revenue
Kansas,2021,Q4,101600000.0
Kansas,2022,CY,478100000.0
Kansas,2022,Q1,99800000.0
Kansas,2022,Q2,99800000.0
Kansas,2022,Q3,103600000.0
Kansas,2022,Q4,154100000.0
Kansas,2023,CY,588300000.0
Kansas,2023,Q1,140200000.0
Kansas,2023,Q2,137600000.0
Kansas,2023,Q3,134900000.0
Kansas,2023,Q4,175600000.0
Kansas,2024,Q1,149400000.0
Kansas,2024,Q2,153600000.0
Kansas,2024,Q3,160100000.0
Kentucky,2019,Q3,
Kentucky,2020,CY,
Kentucky,2020,Q2,
Kentucky,2020,Q3,
Kentucky,2020,Q4,
Kentucky,2021,CY,
Kentucky,2021,Q1,
Kentucky,2021,Q2,
Kentucky,2021,Q3,
Kentucky,2021,Q4,
Kentucky,2022,CY,
Kentucky,2022,Q1,
Kentucky,2022,Q2,
Kentucky,2022,Q3,
Kentucky,2022,Q4,
Kentucky,2023,CY,112100000.0
Kentucky,2023,Q1,
Kentucky,2023,Q2,
Kentucky,2023,Q3,
Kentucky,2023,Q4,109500000.0
Kentucky,2024,Q1,
Kentucky,2024,Q2,60700000.0
Kentucky,2024,Q3,65400000.0
Louisiana,2019,Q3,603380000.0
Louisiana,2020,CY,
Louisiana,2020,Q2,234900000.0
Louisiana,2020,Q3,452400000.0
Louisiana,2020,Q4,465900000.0
Louisiana,2021,CY,2380100000.0
Louisiana,2021,Q1,559700000.0
Louisiana,2021,Q2,685700000.0
Louisiana,2021,Q3,537900000.0
Louisiana,2021,Q4,597500000.0
Louisiana,2022,CY,2593100000.0
Louisiana,2022,Q1,550500000.0
Louisiana,2022,Q2,667800000.0
Louisiana,2022,Q3,634700000.0
Louisiana,2022,Q4,615500000.0
Louisiana,2023,CY,2696800000.0
Louisiana,2023,Q1,695900000.0
Louisiana,2023,Q2,665000000.0
Louisiana,2023,Q3,630400000.0
Louisiana,2023,Q4,699000000.0
Louisiana,2024,Q1,700600000.0
Louisiana,2024,Q2,687800000.0
Louisiana,2024,Q3,650700000.0
Maine,2019,Q3,39550000.0
Maine,2020,CY,71400000.0
Maine,2020,Q2,
Maine,2020,Q3,21100000.0
Maine,2020,Q4,21600000.0
Maine,2021,CY,146900000.0
Maine,2021,Q1,25600000.0
Maine,2021,Q2,37000000.0
Maine,2021,Q3,45400000.0
